1898.2287,4.871,389.7
1882.8423,4.869,386.7
1891.9605,4.885,387.3
1944.9476,4.877,398.8
1853.8038,4.881,379.8
1886.1375,4.875,386.9
1920.426,4.868,394.5
1919.3232,4.848,395.9
1888.1065,4.865,388.1
1858.1907,4.899,379.3
1844.3718,4.878,378.1
1894.3161,4.881,388.1
1942.9417,4.861,399.7
1930.8288,4.866,396.8
1835.6832,4.903,374.4
1884.7356,4.884,385.9
1899.5463,4.897,387.9
1899.3702,4.854,391.3
1919.962,4.873,394.0
1917.0382,4.873,393.4
1828.68,4.9,373.2
1820.8024,4.892,372.2
1922.3202,4.847,396.6
1905.039,4.866,391.5
1836.2602,4.898,374.9
1889.7494,4.873,387.8
1899.4954,4.873,389.8
1917.9384,4.858,394.8
1870.4336,4.876,383.6
1911.1768,4.868,392.6
1927.0794,4.859,396.6
2043.2617,4.843,421.9
1840.3255,4.901,375.5
