1755.3261,4.821,364.1
1898.5351,4.781,397.1
1874.5786,4.798,390.7
1800.3784,4.819,373.6
1769.904,4.82,367.2
1825.14,4.803,380.0
1858.8168,4.792,387.9
1872.989,4.805,389.8
1780.2752,4.796,371.2
1774.1011,4.817,368.3
1803.0564,4.812,374.7
1783.8342,4.803,371.4
1819.7808,4.799,379.2
1854.3192,4.794,386.8
1807.4728,4.802,376.4
1791.2223,4.819,371.7
1808.9955,4.815,375.7
1797.2826,4.803,374.2
1825.2402,4.802,380.1
1911.4491,4.787,399.3
1831.9743,4.797,381.9
1746.1479,4.809,363.1
1805.7795,4.809,375.5
1765.8334,4.826,365.9
1854.3008,4.789,387.2
1903.9515,4.785,397.9
1885.5993,4.787,393.9
1782.5024,4.802,371.2
1815.534,4.803,378.0
1832.9696,4.816,380.6
1791.594,4.82,371.7
1886.9668,4.799,393.2
1867.068,4.78,390.6
1826.9391,4.809,379.9
1786.915,4.81,371.5
1838.1138,4.798,383.1
1850.9812,4.804,385.3
1826.88,4.8,380.6
1789.5376,4.808,372.2
1906.5816,4.788,398.2
1851.6116,4.787,386.8
1835.049,4.79,383.1
1831.9496,4.826,379.6
1845.18,4.824,382.5
1769.9374,4.807,368.2
1864.5018,4.782,389.9
1858.4038,4.786,388.3
1808.0172,4.806,376.2
1794.6675,4.805,373.5
1771.832,4.82,367.6
1880.1973,4.783,393.1
1846.9003,4.781,386.3
1864.296,4.795,388.8
1839.6389,4.807,382.7
1876.3302,4.789,391.8
1797.9745,4.801,374.5
1831.2,4.8,381.5
1856.1445,4.795,387.1
1852.3852,4.789,386.8
1888.89,4.782,395.0
1830.5352,4.797,381.6
