20:23:40,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:41,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:42,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:23:43,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:44,  cpu usage : 1.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:45,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:46,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:47,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:48,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:49,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:50,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:51,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:52,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:53,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:54,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:55,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:56,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:57,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:58,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:59,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:00,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:01,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:02,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:03,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:04,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:05,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:06,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:07,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:08,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:24:09,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:10,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:11,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:12,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:13,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:14,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:15,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:16,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:17,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:18,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:19,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:21,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:22,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:23,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:24,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:25,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:26,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:27,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:28,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:29,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:30,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:31,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:32,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:33,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:34,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:35,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:36,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:37,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:38,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:39,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:40,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:41,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:24:42,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:43,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:44,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:45,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:46,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:47,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:48,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:49,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:50,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:51,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:52,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:53,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:54,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:55,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:24:56,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:57,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:24:58,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:24:59,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:00,  cpu usage : 2.0,  cpu temp : 55.3,  mem usage : 0.386962106615,   
20:25:01,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:02,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:03,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:04,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
