2048.424,4.795,427.2
2102.7296,4.792,438.8
2085.5544,4.801,434.4
2080.0252,4.796,433.7
2104.9983,4.783,440.1
2111.5832,4.786,441.2
2102.0896,4.784,439.4
2121.3297,4.781,443.7
2135.168,4.766,448.0
2113.238,4.78,442.1
2129.3916,4.783,445.2
2112.6144,4.784,441.6
2101.0143,4.787,438.9
2100.5356,4.787,438.8
2108.48,4.792,440.0
2127.8556,4.786,444.6
2112.2912,4.766,443.2
2106.3186,4.786,440.1
2088.216,4.784,436.5
2161.3578,4.767,453.4
2125.8622,4.774,445.3
2138.868,4.77,448.4
2139.0633,4.763,449.1
2119.8849,4.767,444.7
2137.8742,4.787,446.6
2108.862,4.782,441.0
2100.176,4.784,439.0
2123.1392,4.784,443.8
2103.8077,4.789,439.3
2121.8976,4.792,442.8
2112.7239,4.781,441.9
2104.156,4.78,440.2
2115.8172,4.788,441.9
2130.988,4.778,446.0
2143.4399,4.777,448.7
2146.023,4.77,449.9
2160.0657,4.761,453.7
