 5032 mV	  37.89 mV	382.4 mA
 5032 mV	  37.36 mV	350.3 mA
 5052 mV	  39.03 mV	389.1 mA
 5040 mV	  33.47 mV	384.1 mA
 5036 mV	  38.45 mV	383.8 mA
 5024 mV	  37.47 mV	369.8 mA
 5028 mV	  38.43 mV	391.7 mA
 5032 mV	  39.13 mV	384.4 mA
 5040 mV	  39.68 mV	363.5 mA
 5032 mV	  36.99 mV	354.4 mA
 5028 mV	  38.53 mV	382.0 mA
 5004 mV	  41.29 mV	414.0 mA
 5040 mV	  35.02 mV	372.3 mA
 5032 mV	  36.42 mV	345.4 mA
 5028 mV	  40.21 mV	379.9 mA
 5020 mV	  39.04 mV	383.6 mA
 5028 mV	  32.66 mV	384.8 mA
 5020 mV	  39.99 mV	387.8 mA
 5032 mV	  37.68 mV	390.1 mA
 5032 mV	  38.52 mV	362.9 mA
 5028 mV	  37.21 mV	368.8 mA
 5028 mV	  31.33 mV	361.7 mA
 5032 mV	  39.01 mV	369.6 mA
 5036 mV	  37.02 mV	385.8 mA
 5036 mV	  38.12 mV	371.1 mA
 5028 mV	  39.26 mV	373.5 mA
 5032 mV	  39.37 mV	366.8 mA
 5048 mV	  38.57 mV	390.5 mA
 5016 mV	  38.51 mV	373.4 mA
 5028 mV	  34.52 mV	350.3 mA
 5020 mV	  36.82 mV	403.7 mA
 5044 mV	  37.39 mV	376.1 mA
 5040 mV	  35.85 mV	357.6 mA
 5044 mV	  36.31 mV	361.6 mA
 5048 mV	  35.55 mV	354.1 mA
 5032 mV	  37.82 mV	350.6 mA
 5044 mV	  39.51 mV	403.1 mA
 5036 mV	  38.57 mV	403.4 mA
 5040 mV	  34.63 mV	383.7 mA
 5028 mV	  36.58 mV	389.4 mA
 5040 mV	  37.58 mV	364.1 mA
 5040 mV	  33.97 mV	329.8 mA
 5044 mV	  37.09 mV	388.0 mA
 5020 mV	  37.72 mV	357.5 mA
 5044 mV	  33.12 mV	374.2 mA
 5048 mV	  39.34 mV	371.9 mA
 5020 mV	  38.80 mV	357.2 mA
 5052 mV	  37.90 mV	390.9 mA
 5056 mV	  38.98 mV	358.5 mA
 5048 mV	  38.64 mV	391.0 mA
 5040 mV	  38.30 mV	387.0 mA
 5024 mV	  36.51 mV	374.8 mA
 5036 mV	  39.58 mV	395.4 mA
 5036 mV	  37.15 mV	361.8 mA
 5032 mV	  38.63 mV	378.2 mA
 5020 mV	  38.54 mV	326.0 mA
 5032 mV	  38.55 mV	391.1 mA
 5032 mV	  36.49 mV	343.3 mA
 5056 mV	  40.26 mV	421.0 mA
 5028 mV	  37.17 mV	397.0 mA
 5028 mV	  36.76 mV	350.8 mA
 5036 mV	  39.40 mV	382.4 mA
 5020 mV	  35.23 mV	350.3 mA
 5040 mV	  38.29 mV	343.8 mA
 5004 mV	  38.95 mV	400.4 mA
 5024 mV	  37.79 mV	389.2 mA
 5040 mV	  35.62 mV	378.2 mA
 5036 mV	  36.39 mV	349.2 mA
 5044 mV	  36.02 mV	359.2 mA
 5044 mV	  39.58 mV	338.7 mA
 5040 mV	  38.45 mV	380.4 mA
 5044 mV	  38.65 mV	385.2 mA
 5024 mV	  38.55 mV	375.3 mA
 5028 mV	  38.28 mV	379.8 mA
 5028 mV	  37.64 mV	415.2 mA
 5032 mV	  36.64 mV	372.5 mA
 5036 mV	  40.03 mV	358.9 mA
 4996 mV	  43.54 mV	405.3 mA
 5024 mV	  38.51 mV	371.5 mA
 5048 mV	  34.47 mV	372.7 mA
 5032 mV	  36.75 mV	390.3 mA
 5028 mV	  39.00 mV	380.6 mA
 5048 mV	  36.24 mV	366.5 mA
 5048 mV	  38.73 mV	363.9 mA
 5028 mV	  37.99 mV	391.3 mA
 5028 mV	  37.25 mV	368.3 mA
 5040 mV	  38.74 mV	392.1 mA
 5040 mV	  35.99 mV	359.5 mA
 5044 mV	  35.58 mV	353.9 mA
 5044 mV	  35.85 mV	354.9 mA
 5044 mV	  35.83 mV	367.4 mA
 5044 mV	  35.41 mV	352.9 mA
 5044 mV	  35.83 mV	356.0 mA
 5000 mV	  44.66 mV	433.3 mA
 5044 mV	  36.05 mV	358.2 mA
 5048 mV	  35.49 mV	353.5 mA
 5044 mV	  35.73 mV	355.1 mA
 5044 mV	  36.20 mV	362.0 mA
 5044 mV	  35.47 mV	356.1 mA
 5048 mV	  35.37 mV	351.2 mA
 5040 mV	  36.24 mV	361.1 mA
 5044 mV	  35.82 mV	355.9 mA
 5048 mV	  35.89 mV	353.6 mA
 5044 mV	  36.09 mV	365.2 mA
 5044 mV	  35.56 mV	355.0 mA
 5048 mV	  35.67 mV	353.6 mA
 5044 mV	  35.92 mV	360.2 mA
 5044 mV	  35.71 mV	356.4 mA
 5044 mV	  35.95 mV	356.7 mA
 5028 mV	  38.94 mV	373.9 mA
 5028 mV	  37.46 mV	371.4 mA
 5016 mV	  41.01 mV	414.3 mA
 5028 mV	  35.81 mV	367.0 mA
 5052 mV	  38.13 mV	371.2 mA
 5028 mV	  36.93 mV	383.5 mA
 5040 mV	  35.00 mV	351.4 mA
 5028 mV	  38.08 mV	375.3 mA
 5028 mV	  39.04 mV	371.2 mA
 5052 mV	  36.67 mV	384.8 mA
 5028 mV	  39.48 mV	381.0 mA
 5036 mV	  35.05 mV	371.3 mA
 5032 mV	  38.27 mV	386.2 mA
 5044 mV	  36.63 mV	389.4 mA
