 5036 mV	  35.68 mV	385.2 mA
 5020 mV	  38.99 mV	384.9 mA
 5028 mV	  38.46 mV	376.4 mA
 5048 mV	  35.26 mV	349.0 mA
 5044 mV	  35.75 mV	356.4 mA
 5044 mV	  35.58 mV	353.4 mA
 5044 mV	  35.39 mV	353.6 mA
 5044 mV	  35.80 mV	356.2 mA
 5044 mV	  35.32 mV	351.3 mA
 5044 mV	  35.70 mV	353.5 mA
 5040 mV	  36.09 mV	366.7 mA
 5044 mV	  35.11 mV	350.1 mA
 5048 mV	  34.91 mV	349.7 mA
 5044 mV	  36.63 mV	360.2 mA
 5044 mV	  35.95 mV	357.7 mA
 5048 mV	  35.51 mV	353.6 mA
 5044 mV	  35.39 mV	352.5 mA
 5044 mV	  36.10 mV	360.8 mA
 5048 mV	  35.16 mV	350.5 mA
 5044 mV	  35.28 mV	351.5 mA
 5040 mV	  36.11 mV	365.6 mA
 5044 mV	  35.42 mV	353.0 mA
 5048 mV	  34.94 mV	349.7 mA
 5044 mV	  35.82 mV	355.9 mA
 5044 mV	  35.51 mV	353.5 mA
 5048 mV	  35.52 mV	352.6 mA
 5044 mV	  35.62 mV	352.8 mA
 5040 mV	  35.18 mV	349.8 mA
 5048 mV	  35.25 mV	351.0 mA
 5044 mV	  35.59 mV	356.5 mA
 5044 mV	  35.21 mV	350.5 mA
 5004 mV	  46.41 mV	421.7 mA
 5044 mV	  35.51 mV	353.4 mA
 5044 mV	  35.72 mV	356.7 mA
 5048 mV	  35.38 mV	352.7 mA
 5044 mV	  35.18 mV	352.3 mA
 5040 mV	  36.24 mV	359.8 mA
 5044 mV	  35.38 mV	353.2 mA
 5044 mV	  35.21 mV	354.9 mA
 5040 mV	  36.12 mV	359.9 mA
 5048 mV	  35.51 mV	353.2 mA
 5048 mV	  35.13 mV	352.7 mA
 5044 mV	  35.76 mV	357.0 mA
 5048 mV	  35.62 mV	353.1 mA
 5044 mV	  35.29 mV	350.9 mA
 5044 mV	  35.62 mV	364.2 mA
 5028 mV	  39.30 mV	379.8 mA
 5048 mV	  35.45 mV	352.7 mA
 5044 mV	  35.25 mV	351.8 mA
 5044 mV	  35.53 mV	353.7 mA
 5044 mV	  43.06 mV	445.7 mA
 5044 mV	  35.52 mV	357.0 mA
 5040 mV	  36.08 mV	361.0 mA
 5048 mV	  35.30 mV	351.6 mA
 5048 mV	  35.63 mV	354.1 mA
 5044 mV	  36.09 mV	359.5 mA
 5044 mV	  35.29 mV	354.3 mA
 5032 mV	  37.02 mV	347.5 mA
 5024 mV	  37.97 mV	389.0 mA
 5028 mV	  37.15 mV	373.1 mA
 5032 mV	  37.96 mV	373.6 mA
 5028 mV	  39.96 mV	360.1 mA
 5032 mV	  37.34 mV	379.3 mA
 5028 mV	  36.13 mV	371.1 mA
 5028 mV	  36.50 mV	381.8 mA
 5028 mV	  41.16 mV	419.8 mA
 5044 mV	  34.54 mV	387.9 mA
 5036 mV	  35.88 mV	382.1 mA
 5028 mV	  38.80 mV	392.3 mA
 5044 mV	  39.27 mV	388.2 mA
 5024 mV	  39.02 mV	382.6 mA
 5028 mV	  40.60 mV	387.5 mA
 5028 mV	  37.86 mV	383.9 mA
 5024 mV	  38.01 mV	388.5 mA
 5024 mV	  39.39 mV	390.2 mA
 5044 mV	  35.25 mV	352.3 mA
 5032 mV	  36.92 mV	371.8 mA
 5024 mV	  39.45 mV	393.8 mA
 5028 mV	  35.05 mV	376.5 mA
 5028 mV	  38.36 mV	386.6 mA
 4988 mV	  42.98 mV	404.4 mA
 5024 mV	  37.53 mV	384.6 mA
 5028 mV	  37.48 mV	361.4 mA
 5020 mV	  39.00 mV	375.8 mA
 5036 mV	  39.61 mV	375.3 mA
 5040 mV	  38.10 mV	373.8 mA
 5064 mV	  38.50 mV	362.0 mA
 5048 mV	  39.98 mV	375.7 mA
 5032 mV	  39.09 mV	392.2 mA
 5040 mV	  36.63 mV	383.6 mA
 5012 mV	  40.12 mV	402.0 mA
 5024 mV	  35.33 mV	384.9 mA
 5044 mV	  35.45 mV	352.6 mA
 5044 mV	  35.73 mV	356.3 mA
 4980 mV	  49.26 mV	425.1 mA
 5048 mV	  34.89 mV	348.4 mA
 5040 mV	  35.33 mV	355.9 mA
 5040 mV	  36.68 mV	363.2 mA
 5044 mV	  35.17 mV	354.3 mA
 5044 mV	  35.40 mV	353.3 mA
 5044 mV	  36.01 mV	360.0 mA
 5044 mV	  35.76 mV	355.8 mA
 5048 mV	  35.55 mV	352.0 mA
 5044 mV	  35.97 mV	358.0 mA
 5044 mV	  35.61 mV	355.3 mA
 5048 mV	  35.23 mV	349.6 mA
 5044 mV	  35.42 mV	354.6 mA
 5044 mV	  35.48 mV	353.5 mA
 5048 mV	  35.21 mV	353.9 mA
 5044 mV	  35.79 mV	356.0 mA
 5044 mV	  35.44 mV	351.7 mA
 5048 mV	  35.60 mV	351.7 mA
 5048 mV	  35.24 mV	357.0 mA
 5044 mV	  35.57 mV	354.5 mA
 5044 mV	  35.50 mV	353.2 mA
 5044 mV	  35.48 mV	353.8 mA
 5044 mV	  35.93 mV	357.4 mA
 5032 mV	  37.40 mV	376.0 mA
 5056 mV	  37.49 mV	363.0 mA
 5036 mV	  36.56 mV	377.4 mA
 5024 mV	  32.73 mV	387.6 mA
 5044 mV	  35.28 mV	354.0 mA
 5044 mV	  35.99 mV	355.7 mA
 5040 mV	  35.61 mV	353.3 mA
 5044 mV	  35.29 mV	351.3 mA
 5044 mV	  35.71 mV	356.1 mA
 5044 mV	  35.35 mV	353.9 mA
 5024 mV	  37.55 mV	372.4 mA
 5044 mV	  37.32 mV	370.4 mA
 5020 mV	  36.44 mV	371.4 mA
 4992 mV	  44.80 mV	449.7 mA
 5048 mV	  39.35 mV	380.4 mA
 5028 mV	  39.53 mV	381.9 mA
 5032 mV	  35.75 mV	364.5 mA
 5028 mV	  34.67 mV	376.3 mA
 5024 mV	  39.08 mV	372.3 mA
 5028 mV	  37.81 mV	388.9 mA
 5032 mV	  36.94 mV	380.6 mA
 5036 mV	  39.44 mV	391.5 mA
 5032 mV	  36.83 mV	387.3 mA
 5032 mV	  36.55 mV	372.2 mA
 5028 mV	  38.24 mV	389.9 mA
